"class_identifier","DE","EN"
1,"Harte Autokratie","Hard Autocracy"
2,"Moderate Autokratie","Moderate Autocracy"
3,"Hybrides Regime","Hybrid Regime"
4,"DefizitÃ¤re Demokratie","Deficient Democracy"
5,"Funktionierende Demokratie","Working Democracy"
